Word|Translation|Example|Audio position|Dictionary position
tyve|twenty (20)
kat|cat|Min kat er hvid.
bro|bridge
sprog|language|Hvad sprog taler du?
udtale|pronunciation
blød|soft|||2
flot|beautiful, nice|En flot bil.
tredive|thirty (30)
fyrre|forty (40)
halvtreds|fifty (50)
tres|sixty (60)
halvfjerds|seventy (70)
firs|eighty (80)
halvfems|ninety (90)
hundrede|hundred (100)||0
tusind|thousand (1 000)||0
hvordan|how||0
hvad|what||0
hvem|who||0
hvorfor|why||0
hvor|where||0
hvilken|which||0
hvornår|when
hvad tid|when
hvor meget|how much
hvor mange|how many
hvis|if, whoes
hvor længe|for how long
hvor lang tid|for how long
gammel|old||0
bog|book||0
blyant|pencil||0
kop|cup
ur|clock, watch
nøgle|key
taske|bag
blyantspidser|pencil sharpener
jakke|jacket
han|he
hun|she
viskelæder|eraser
tro|to think, to belive<br>In Danish, at tro is used for believing, and at synes for opinions: Jeg tror det kommer til at regne vs. Jeg synes du er sød.|||2
skole|school
hendes|her|Det er ikke henders.|0
måske|maybe||0
kvinde|woman
mand|man, husband||0
forskellig|different, various, diverse
lærer|teacher
skal vi|should we _ / shell we _|Skal vi spise frokost nu?
stave|spell
gift|married|||2
arbejde|work, occupation, job
lave|make, do
om|about
men|but
godt lide|like
ikke lide|dislike
vejr|weather
elske|to love
had|hate
regn|rain
møde|to meet, meeting, conference
hver|every||0
være|to be, to have, to make, быть|Hun har været i Danmark i to år.|0
tog|train||0
køre|drive
bil|car
fordi|because
samme|same
arbejdsplads|workplsace
tage|to go, to take||0
få|to get, to receive
arbejdsgiver|employer
fortælle|to tell, to recite||0
skrive|to write||0
kone|wife
mor|mother||0
far|father||0
forælder|parent||0
ægtepar|couple
datter|daughter||0
søn|son
søster|sister
bror|brother||0
død|death||0
besøge|to visit
alene|alone
læse|to read, to study
savne|to miss
tænke|to think
tit|often
selvfølgelig|of course
enlig|single
skille|to separate, to divorce
søskende|siblings
vækkeur|alarm clock
vågne|to wake (up)
stå|stand
brusebad|shower
børste|brush, to brush
tand|tooth||0
barbere|to shave
tøj|clothes
vække|to make someone wake up, разбудить||0
aflevere|to hand in, сдать
vel|well, good|||2
sød|sweet|||2
lejlighed|apartment
altid|always||0
frisk|fresh
træt|tired
aldrig|never
sult|hunger
nogle gange|sometimes
hen (til)|in horizontal direction or movement towards a certain goal relatively close to the starting point
normalt|normally
købe ind|to buy groceries
rydde op|clean up
slappe af|to relax
hjemmearbejde|home work
hente|to fetch
ren|clean|||3
vaske|to wash
aftensmad|dinner
vasker op|do the dishes
tur|trip, walk, tour
ven|friend
høre|to hear
fjernsyn|television
sove|to sleep||0
seng|bed
skive|slice
synes|to think, to belive<br>In Danish, at tro is used for believing, and at synes for opinions: Jeg tror det kommer til at regne vs. Jeg synes du er sød.
virkelig|really, indeed, actually
idé|idea
forhindre|to prevent (take action, actively prevent)
vindmølle|windmill
svær|difficult|Svært ved at komme ud af sengen?|0|2
vænne til|get used to|Sådan vænner du dig til at træne om morgenen.
træne|to train|Sådan vænner du dig til at træne om morgenen.
sko|shoe|Skoene er snøret.
snøre|to lace up, to tie laces|Skoene er snøret.||2
løbe|to run|||2
med|with
sol|sun
solopgang|sunrise
opgang|stairway, подъезд
betyde|to mean|Det betyder, ...
afgøre|to decide, to make a final call (official)
afgørende|decisive, essential, crucial, very significant
når|when<br/>The English word when translates into three words in Danish: Hvornår for asking a question and da og når for the rest. Da describes a scene in the past and når is used for future or repeted situations in present or past.|Når vi taler om døgnrytme, ...
flere|more|Flere end 350.000 er blevet registreret smittet i de seneste 24 timer.
end|than|Flere end 350.000 er blevet registreret smittet i de seneste 24 timer.
blive|to be, to become|Flere end 350.000 er blevet registreret smittet i de seneste 24 timer.
sen|late, in the last (hours)|Det var sent på aftenen.
senest|at the latest, not later than|Du skal aflevere rapporten senest i morgen.
knap|almost, barely, scarce|Lærerne følte, at de havde knappe ressourcer til rådighed.||2
miste|to lose (something)|Kim mistede begge sine forældre ved en trafikulykke.
